latitude,longitude,temperature_celsius,condition_text,wind_mph,wind_degree,wind_direction,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,visibility_miles,uv_index,gust_mph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_phase,moon_illumination
24.57,77.72,27.5,16.0,12.8,281,14.0,1008.0,29.77,0.0,0.0,67,26,29.7,6.0,7.0,14.8,243.7,45.8,1.7,3.1,12.6,18.5,1,2,5.0,93
23.33,77.8,27.5,22.0,9.6,287,14.0,1008.0,29.78,0.0,0.0,70,19,30.0,6.0,7.0,11.2,240.3,38.3,2.1,2.6,10.7,14.2,1,1,5.0,93
22.07,78.93,26.3,16.0,11.4,317,7.0,1009.0,29.78,0.0,0.0,70,51,28.2,6.0,7.0,13.2,220.3,57.2,0.6,1.7,16.8,20.7,2,2,5.0,93
21.86,77.93,25.6,1.0,10.5,297,14.0,1009.0,29.8,0.0,0.0,76,65,27.6,6.0,6.0,13.0,200.3,25.0,1.2,1.1,4.9,6.6,1,1,5.0,93
22.75,77.72,27.2,1.0,10.1,274,13.0,1009.0,29.79,0.0,0.0,74,82,29.9,6.0,6.0,11.6,257.0,30.8,2.2,1.8,11.4,14.8,1,1,5.0,93
23.2,77.08,25.9,1.0,9.8,287,14.0,1009.0,29.79,0.0,0.0,77,68,28.1,6.0,6.0,11.4,223.6,26.1,3.1,3.3,7.9,10.5,1,1,5.0,93
23.17,79.95,28.0,9.0,9.4,280,13.0,1010.0,29.83,0.1,0.0,70,50,31.0,3.0,6.0,13.9,263.7,56.5,1.2,1.8,17.1,23.1,2,2,5.0,93
22.95,79.2,27.7,22.0,11.0,277,13.0,1008.0,29.77,0.0,0.0,71,21,30.5,6.0,7.0,12.5,260.4,52.9,1.2,1.8,17.3,23.7,2,2,5.0,93
24.72,80.2,30.0,22.0,11.6,288,14.0,1007.0,29.72,0.0,0.0,60,22,33.1,6.0,8.0,13.4,243.7,79.4,1.1,5.4,27.4,35.5,2,3,5.0,93
23.18,75.77,26.0,9.0,11.9,300,14.0,1012.0,29.88,0.0,0.0,74,50,27.8,3.0,6.0,14.1,210.3,32.2,1.7,1.7,5.7,7.6,1,1,5.0,93
24.53,81.3,30.6,16.0,9.8,284,14.0,1006.0,29.72,0.0,0.0,57,58,33.5,6.0,8.0,11.4,260.4,80.8,2.0,7.6,21.9,26.8,2,2,5.0,93
22.95,81.08,30.3,20.0,5.4,316,7.0,1008.0,29.76,0.1,0.0,55,70,32.9,6.0,7.0,6.5,210.3,68.0,0.6,0.7,12.5,15.6,1,2,5.0,93
21.78,80.25,28.3,16.0,6.7,300,14.0,1008.0,29.75,0.0,0.0,67,29,31.1,6.0,7.0,7.8,257.0,68.0,1.6,1.0,15.9,20.7,2,2,5.0,93
22.03,74.9,27.2,15.0,8.9,263,13.0,1009.0,29.8,0.0,0.0,65,88,29.1,6.0,6.0,10.3,205.3,25.0,2.7,4.8,6.2,8.2,1,1,5.0,93
24.58,80.83,30.1,16.0,11.2,288,14.0,1007.0,29.72,0.0,0.0,58,46,33.1,6.0,8.0,13.0,237.0,73.0,1.0,2.3,19.3,24.2,2,2,5.0,93
